id,Country,AverageUser,Luddite,TechnicallySavvy,UltraNerd,Q1total,AverageUserRatio,LudditeRatio,TechnicallySavvyRatio,UltraNerdRatio
AFG,Afghanistan,1,1,5,0,7,0.142857143,0.142857143,0.714285714,0
ALB,Albania,19,1,32,8,60,0.316666667,0.016666667,0.533333333,0.133333333
DZA,Algeria,304,88,240,94,726,0.418732782,0.121212121,0.330578512,0.129476584
,American Samoa,0,0,1,0,1,0,0,1,0
,Andorra,4,1,3,1,9,0.444444444,0.111111111,0.333333333,0.111111111
AGO,Angola,10,1,8,2,21,0.476190476,0.047619048,0.380952381,0.095238095
,Anguilla,0,0,1,0,1,0,0,1,0
,Anonymous Proxy,3,2,21,11,37,0.081081081,0.054054054,0.567567568,0.297297297
,Antigua and Barbuda,0,0,1,0,1,0,0,1,0
ARG,Argentina,1478,129,1239,288,3134,0.471601787,0.041161455,0.395341417,0.091895341
ARM,Armenia,2,0,4,3,9,0.222222222,0,0.444444444,0.333333333
,Aruba,2,1,0,0,3,0.666666667,0.333333333,0,0
,Asia/Pacific Region,2,1,7,1,11,0.181818182,0.090909091,0.636363636,0.090909091
AUS,Australia,1193,77,889,270,2429,0.491148621,0.031700288,0.365994236,0.111156855
AUT,Austria,820,47,960,257,2084,0.393474088,0.022552783,0.460652591,0.123320537
AZE,Azerbaijan,0,0,2,1,3,0,0,0.666666667,0.333333333
BHS,Bahamas,2,0,5,0,7,0.285714286,0,0.714285714,0
,Bahrain,4,0,11,2,17,0.235294118,0,0.647058824,0.117647059
BGD,Bangladesh,130,26,161,78,395,0.329113924,0.065822785,0.407594937,0.197468354
,Barbados,5,1,6,0,12,0.416666667,0.083333333,0.5,0
BLR,Belarus,3,1,17,5,26,0.115384615,0.038461538,0.653846154,0.192307692
BEL,Belgium,1102,107,988,271,2468,0.446515397,0.043354943,0.400324149,0.109805511
BLZ,Belize,2,1,3,3,9,0.222222222,0.111111111,0.333333333,0.333333333
BEN,Benin,41,3,27,7,78,0.525641026,0.038461538,0.346153846,0.08974359
BTN,Bhutan,0,1,2,0,3,0,0.333333333,0.666666667,0
BOL,Bolivia,197,28,144,23,392,0.50255102,0.071428571,0.367346939,0.058673469
BIH,Bosnia and Herzegovina,14,0,28,10,52,0.269230769,0,0.538461538,0.192307692
BWA,Botswana,5,2,6,0,13,0.384615385,0.153846154,0.461538462,0
BRA,Brazil,5780,442,5444,1080,12746,0.4534756,0.034677546,0.427114389,0.084732465
BRN,Brunei Darussalam,7,0,5,0,12,0.583333333,0,0.416666667,0
BGR,Bulgaria,35,3,73,35,146,0.239726027,0.020547945,0.5,0.239726027
BFA,Burkina Faso,30,10,8,6,54,0.555555556,0.185185185,0.148148148,0.111111111
BDI,Burundi,6,2,5,1,14,0.428571429,0.142857143,0.357142857,0.071428571
KHM,Cambodia,19,1,15,7,42,0.452380952,0.023809524,0.357142857,0.166666667
CMR,Cameroon,120,15,77,15,227,0.528634361,0.066079295,0.339207048,0.066079295
CAN,Canada,2066,131,1628,505,4330,0.477136259,0.030254042,0.375981524,0.116628176
,Cape Verde,5,0,1,0,6,0.833333333,0,0.166666667,0
,Cayman Islands,0,0,1,1,2,0,0,0.5,0.5
CAF,Central African Republic,1,0,0,0,1,1,0,0,0
TCD,Chad,6,1,1,0,8,0.75,0.125,0.125,0
CHL,Chile,612,42,601,120,1375,0.445090909,0.030545455,0.437090909,0.087272727
CHN,China,34,1,44,16,95,0.357894737,0.010526316,0.463157895,0.168421053
,Christmas Island,1,0,0,0,1,1,0,0,0
COL,Colombia,1004,94,906,199,2203,0.45574217,0.042669088,0.411257376,0.090331366
,Comoros,1,0,0,1,2,0.5,0,0,0.5
COG,Congo,5,1,5,1,12,0.416666667,0.083333333,0.416666667,0.083333333
COD,"Congo, The Democratic Republic of the",22,1,15,6,44,0.5,0.022727273,0.340909091,0.136363636
CRI,Costa Rica,188,16,173,48,425,0.442352941,0.037647059,0.407058824,0.112941176
,Cote D'Ivoire,112,15,90,35,252,0.444444444,0.05952381,0.357142857,0.138888889
HRV,Croatia,53,1,85,32,171,0.30994152,0.005847953,0.497076023,0.187134503
CUB,Cuba,39,7,42,11,99,0.393939394,0.070707071,0.424242424,0.111111111
,Curacao,4,0,4,0,8,0.5,0,0.5,0
CYP,Cyprus,16,0,12,7,35,0.457142857,0,0.342857143,0.2
CZE,Czech Republic,33,2,77,33,145,0.227586207,0.013793103,0.531034483,0.227586207
DNK,Denmark,59,3,108,50,220,0.268181818,0.013636364,0.490909091,0.227272727
DJI,Djibouti,7,1,0,0,8,0.875,0.125,0,0
,Dominica,1,0,0,0,1,1,0,0,0
DOM,Dominican Republic,91,2,117,17,227,0.400881057,0.008810573,0.515418502,0.074889868
ECU,Ecuador,691,76,373,83,1223,0.565004088,0.062142273,0.304987735,0.067865904
EGY,Egypt,36,9,61,34,140,0.257142857,0.064285714,0.435714286,0.242857143
SLV,El Salvador,161,22,146,27,356,0.452247191,0.061797753,0.41011236,0.075842697
GNQ,Equatorial Guinea,3,0,1,0,4,0.75,0,0.25,0
EST,Estonia,10,0,32,9,51,0.196078431,0,0.62745098,0.176470588
ETH,Ethiopia,11,5,7,6,29,0.379310345,0.172413793,0.24137931,0.206896552
,Europe,52,3,81,21,157,0.331210191,0.01910828,0.515923567,0.133757962
FJI,Fiji,7,1,6,3,17,0.411764706,0.058823529,0.352941176,0.176470588
FIN,Finland,56,4,106,49,215,0.260465116,0.018604651,0.493023256,0.227906977
FRA,France,13644,1546,12537,3324,31051,0.439406138,0.049789057,0.403755113,0.107049692
,French Guiana,25,1,20,2,48,0.520833333,0.020833333,0.416666667,0.041666667
,French Polynesia,43,5,33,6,87,0.494252874,0.057471264,0.379310345,0.068965517
GAB,Gabon,19,5,19,3,46,0.413043478,0.108695652,0.413043478,0.065217391
GMB,Gambia,0,0,3,0,3,0,0,1,0
GEO,Georgia,4,0,6,1,11,0.363636364,0,0.545454545,0.090909091
DEU,Germany,10799,742,9804,2687,24032,0.449359188,0.030875499,0.407956059,0.111809254
GHA,Ghana,30,0,43,8,81,0.37037037,0,0.530864198,0.098765432
,Gibraltar,1,0,1,0,2,0.5,0,0.5,0
GRC,Greece,111,6,196,71,384,0.2890625,0.015625,0.510416667,0.184895833
,Grenada,0,1,1,0,2,0,0.5,0.5,0
,Guadeloupe,54,4,25,14,97,0.556701031,0.041237113,0.257731959,0.144329897
,Guam,1,0,2,0,3,0.333333333,0,0.666666667,0
GTM,Guatemala,182,19,175,40,416,0.4375,0.045673077,0.420673077,0.096153846
,Guernsey,5,0,3,4,12,0.416666667,0,0.25,0.333333333
GIN,Guinea,18,1,11,2,32,0.5625,0.03125,0.34375,0.0625
GUY,Guyana,7,0,8,0,15,0.466666667,0,0.533333333,0
HTI,Haiti,12,0,10,1,23,0.52173913,0,0.434782609,0.043478261
,Holy See (Vatican City State),2,0,0,0,2,1,0,0,0
HND,Honduras,77,4,88,21,190,0.405263158,0.021052632,0.463157895,0.110526316
HK,Hong Kong,15,1,44,13,73,0.205479452,0.01369863,0.602739726,0.178082192
HUN,Hungary,44,1,51,21,117,0.376068376,0.008547009,0.435897436,0.179487179
ISL,Iceland,10,0,14,6,30,0.333333333,0,0.466666667,0.2
IND,India,1198,162,2029,593,3982,0.300853842,0.040683074,0.509542943,0.148920141
IDN,Indonesia,285,51,361,113,810,0.351851852,0.062962963,0.445679012,0.139506173
IRN,"Iran, Islamic Republic of",67,20,128,77,292,0.229452055,0.068493151,0.438356164,0.26369863
IRQ,Iraq,5,0,15,8,28,0.178571429,0,0.535714286,0.285714286
IRL,Ireland,140,8,168,46,362,0.386740331,0.022099448,0.464088398,0.127071823
,Isle of Man,8,1,4,0,13,0.615384615,0.076923077,0.307692308,0
ISR,Israel,40,5,81,29,155,0.258064516,0.032258065,0.522580645,0.187096774
ITA,Italy,13110,1442,10749,2508,27809,0.471430113,0.051853716,0.386529541,0.09018663
JAM,Jamaica,19,1,7,1,28,0.678571429,0.035714286,0.25,0.035714286
JPN,Japan,57,3,63,30,153,0.37254902,0.019607843,0.411764706,0.196078431
,Jersey,8,0,4,2,14,0.571428571,0,0.285714286,0.142857143
JOR,Jordan,5,0,15,6,26,0.192307692,0,0.576923077,0.230769231
KAZ,Kazakhstan,2,0,6,1,9,0.222222222,0,0.666666667,0.111111111
KEN,Kenya,100,7,129,20,256,0.390625,0.02734375,0.50390625,0.078125
KOR,"Korea, Republic of",12,4,24,6,46,0.260869565,0.086956522,0.52173913,0.130434783
KWT,Kuwait,9,0,9,0,18,0.5,0,0.5,0
KGZ,Kyrgyzstan,1,0,0,0,1,1,0,0,0
