School Year,Major Program Name,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: American Indian/Alaska Native (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: White (Tot. F)",Total
2003-2004,CS and/or Eng Multiple Majors (data submitted in aggregation),319,9,17,1,0,59,405
2003-2004,Computer Engineering,18,8,9,1,0,19,55
2003-2004,Computer Science,13,0,0,0,0,13,26
2003-2004,Electrical Engineering,10,15,3,0,0,20,48
2003-2004,Mechanical Engineering,3,2,5,0,0,72,82
2004-2005,CS and/or Eng Multiple Majors (data submitted in aggregation),221,4,13,1,0,40,279
2004-2005,Computer Engineering,21,5,4,1,0,22,53
2004-2005,Computer Science,63,108,15,1,11,83,281
2004-2005,Computer Science (BA),3,1,0,0,0,1,5
2004-2005,Computer Science (BS),0,0,0,0,0,1,1
2004-2005,Computer Science + X,0,2,0,0,0,6,8
2004-2005,Computer Science / Engineering,10,2,0,1,0,20,33
2004-2005,Computer Technology,0,0,0,0,0,0,0
2004-2005,Electrical Engineering,5,12,3,0,0,17,37
2004-2005,Information Science,4,5,3,0,0,17,29
2004-2005,Information Technology,25,11,0,0,0,55,91
2004-2005,Mechanical Engineering,3,4,6,0,0,73,86
2004-2005,Networking,1,2,0,0,0,8,11
2005-2006,CS and/or Eng Multiple Majors (data submitted in aggregation),151,0,12,4,0,59,226
2005-2006,Computer Engineering,11,6,8,1,0,16,42
2005-2006,Computer Science,41,70,11,2,0,94,218
2005-2006,Computer Science (BA),3,3,0,0,0,0,6
2005-2006,Computer Science (BS),1,0,0,0,0,3,4
2005-2006,Computer Science + X,1,0,0,0,0,3,4
2005-2006,Computer Science / Engineering,7,3,0,0,0,20,30
2005-2006,Electrical Engineering,10,13,2,0,0,30,55
2005-2006,Informatics,3,4,0,0,0,28,35
2005-2006,Information Science,2,1,2,0,0,18,23
2005-2006,Information Technology,12,13,3,1,0,44,73
2005-2006,Mechanical Engineering,4,1,5,0,0,63,73
2005-2006,Networking,2,2,0,0,0,12,16
2006-2007,CS and/or Eng Multiple Majors (data submitted in aggregation),130,0,10,4,0,60,204
2006-2007,Computer Engineering,5,4,6,0,0,8,23
2006-2007,Computer Science,28,10,12,0,0,80,130
2006-2007,Computer Science / Engineering,3,3,0,0,0,18,24
2006-2007,Electrical Engineering,24,20,17,0,0,66,127
2006-2007,Engineering Technology,0,2,10,0,0,16,28
2006-2007,Industrial Distribution,7,11,16,1,0,83,118
2006-2007,Informatics,2,6,0,0,0,31,39
2006-2007,Information Technology,10,10,7,1,0,47,75
2006-2007,Management Information Systems,1,2,2,0,0,29,34
2006-2007,Mechanical Engineering,7,13,19,0,0,197,236
2006-2007,Networking,2,2,0,0,0,10,14
2006-2007,Software Engineering,1,1,1,0,0,17,20
2007-2008,CS and/or Eng Multiple Majors (data submitted in aggregation),116,1,11,3,0,52,183
2007-2008,Computer Engineering,6,2,9,0,0,7,24
2007-2008,Computer Science,25,11,10,4,0,79,129
2007-2008,Computer Science (BA),5,1,0,0,0,12,18
2007-2008,Computer Science (BS),3,1,1,0,0,17,22
2007-2008,Computer Science + X,1,0,0,0,0,2,3
2007-2008,Computer Science / Engineering,1,1,0,0,0,18,20
2007-2008,Computer Systems Engineering,7,3,7,3,0,10,30
2007-2008,Electrical Engineering,28,22,26,4,0,102,182
2007-2008,Engineering Technology,2,3,13,0,0,23,41
2007-2008,Industrial Distribution,4,5,12,1,0,81,103
2007-2008,Informatics,4,7,1,1,0,39,52
2007-2008,Information Science,1,4,1,0,0,17,23
2007-2008,Information Technology,10,10,9,1,0,51,81
2007-2008,Management Information Systems,1,3,4,0,0,25,33
2007-2008,Mechanical Engineering,11,10,17,0,0,183,221
2007-2008,Networking,1,1,0,0,0,16,18
2007-2008,Software Engineering,0,1,1,0,0,18,20
2008-2009,Applied Engineering Sciences,4,14,0,0,0,33,51
2008-2009,Bioinformatics,2,0,0,0,0,7,9
2008-2009,Biosystems Engineering,0,2,3,0,0,32,37
2008-2009,CS and/or Eng Multiple Majors (data submitted in aggregation),209,4,17,4,0,47,281
2008-2009,Chemical Engineering,3,1,5,1,0,74,84
2008-2009,Civil Engineering,3,6,2,0,0,44,55
2008-2009,Computer Engineering,41,24,9,0,2,63,139
2008-2009,Computer Information Systems,2,9,0,0,0,19,30
2008-2009,Computer Science,105,33,30,6,3,239,416
2008-2009,Computer Science &,0,0,0,0,0,0,0
2008-2009,Computer Science (BA),2,2,0,0,0,8,12
2008-2009,Computer Science (BS),4,0,1,0,0,4,9
2008-2009,Computer Science / Engineering,2,0,0,0,0,13,15
2008-2009,Computer Software and Media Applications,7,4,1,0,0,70,82
2008-2009,Computer Systems Engineering,5,4,3,1,0,12,25
2008-2009,Electrical Engineering,24,18,29,5,0,131,207
2008-2009,Engineering Technology,2,3,14,0,0,19,38
2008-2009,Industrial Distribution,1,4,14,0,0,88,107
2008-2009,Informatics,2,5,2,0,0,45,54
2008-2009,Information Assurance/Cybersecurity,0,1,0,0,0,1,2
2008-2009,Information Science,4,5,3,0,0,20,32
2008-2009,Information Technology,7,7,2,1,0,28,45
2008-2009,Management Information Systems,3,0,4,0,0,26,33
