School Year,Major Program Name,
2003-2004,CS and/or Eng Multiple Majors (data submitted in aggregation),405
2003-2004,Computer Engineering,55
2003-2004,Computer Science,26
2003-2004,Electrical Engineering,48
2003-2004,Mechanical Engineering,82
2004-2005,CS and/or Eng Multiple Majors (data submitted in aggregation),279
2004-2005,Computer Engineering,53
2004-2005,Computer Science,281
2004-2005,Computer Science (BA),5
2004-2005,Computer Science (BS),1
2004-2005,Computer Science + X,8
2004-2005,Computer Science / Engineering,33
2004-2005,Computer Technology,0
2004-2005,Electrical Engineering,37
2004-2005,Information Science,29
2004-2005,Information Technology,91
2004-2005,Mechanical Engineering,86
2004-2005,Networking,11
2005-2006,CS and/or Eng Multiple Majors (data submitted in aggregation),226
2005-2006,Computer Engineering,42
2005-2006,Computer Science,218
2005-2006,Computer Science (BA),6
2005-2006,Computer Science (BS),4
2005-2006,Computer Science + X,4
2005-2006,Computer Science / Engineering,30
2005-2006,Electrical Engineering,55
2005-2006,Informatics,35
2005-2006,Information Science,23
2005-2006,Information Technology,73
2005-2006,Mechanical Engineering,73
2005-2006,Networking,16
2006-2007,CS and/or Eng Multiple Majors (data submitted in aggregation),204
2006-2007,Computer Engineering,23
2006-2007,Computer Science,130
2006-2007,Computer Science / Engineering,24
2006-2007,Electrical Engineering,127
2006-2007,Engineering Technology,28
2006-2007,Industrial Distribution,118
2006-2007,Informatics,39
2006-2007,Information Technology,75
2006-2007,Management Information Systems,34
2006-2007,Mechanical Engineering,236
2006-2007,Networking,14
2006-2007,Software Engineering,20
2007-2008,CS and/or Eng Multiple Majors (data submitted in aggregation),183
2007-2008,Computer Engineering,24
2007-2008,Computer Science,129
2007-2008,Computer Science (BA),18
2007-2008,Computer Science (BS),22
2007-2008,Computer Science + X,3
2007-2008,Computer Science / Engineering,20
2007-2008,Computer Systems Engineering,30
2007-2008,Electrical Engineering,182
2007-2008,Engineering Technology,41
2007-2008,Industrial Distribution,103
2007-2008,Informatics,52
2007-2008,Information Science,23
2007-2008,Information Technology,81
2007-2008,Management Information Systems,33
2007-2008,Mechanical Engineering,221
2007-2008,Networking,18
2007-2008,Software Engineering,20
2008-2009,Applied Engineering Sciences,51
2008-2009,Bioinformatics,9
2008-2009,Biosystems Engineering,37
2008-2009,CS and/or Eng Multiple Majors (data submitted in aggregation),281
2008-2009,Chemical Engineering,84
2008-2009,Civil Engineering,55
2008-2009,Computer Engineering,139
2008-2009,Computer Information Systems,30
2008-2009,Computer Science,416
2008-2009,Computer Science &,0
2008-2009,Computer Science (BA),12
2008-2009,Computer Science (BS),9
2008-2009,Computer Science / Engineering,15
2008-2009,Computer Software and Media Applications,82
2008-2009,Computer Systems Engineering,25
2008-2009,Electrical Engineering,207
2008-2009,Engineering Technology,38
2008-2009,Industrial Distribution,107
2008-2009,Informatics,54
2008-2009,Information Assurance/Cybersecurity,2
2008-2009,Information Science,32
2008-2009,Information Technology,45
2008-2009,Management Information Systems,33
2008-2009,Materials Science and Engineering,17
2008-2009,Mathematics and Computer Science,2
2008-2009,Mechanical Engineering,410
2008-2009,Software Development,0
2008-2009,Systems Engineering,3
2009-2010,Applied Engineering Sciences,40
2009-2010,Applied Information Technology,110
2009-2010,Biosystems Engineering,45
2009-2010,CS and/or Eng Multiple Majors (data submitted in aggregation),441
2009-2010,Chemical Engineering,75
2009-2010,Civil Engineering,76
2009-2010,Computer Engineering,267
2009-2010,Computer Information Systems,35
2009-2010,Computer Science,598
2009-2010,Computer Science (BA),15
2009-2010,Computer Science (BS),27
2009-2010,Computer Science / Engineering,29
2009-2010,Computer Software and Media Applications,83
2009-2010,Computer Systems Engineering,24
2009-2010,Electrical Engineering,390
2009-2010,Electrical and Computer Engineering,70
2009-2010,Engineering Technology,193
2009-2010,General Engineering,18
2009-2010,Industrial Distribution,123
2009-2010,Informatics,81
2009-2010,Information Science,27
2009-2010,Information Technology,49
2009-2010,Management Information Systems,41
2009-2010,Materials Science and Engineering,16
2009-2010,Mechanical Engineering,638
2009-2010,Software Engineering,1
2009-2010,Systems Engineering,6
2010-2011,Aerospace Engineering,138
2010-2011,Applied Engineering Sciences,39
2010-2011,Applied Information Technology,143
2010-2011,Biosystems Engineering,55
2010-2011,CS and/or Eng Multiple Majors (data submitted in aggregation),591
2010-2011,Chemical Engineering,77
2010-2011,Civil Engineering,80
2010-2011,Computational Biology,2
2010-2011,Computer Engineering,358
2010-2011,Computer Information Systems,33
2010-2011,Computer Science,1086
2010-2011,Computer Science (BA),42
2010-2011,Computer Science (BS),100
2010-2011,Computer Science + X,37
2010-2011,Computer Software and Media Applications,95
2010-2011,Computer Systems Engineering,27
2010-2011,Electrical Engineering,529
2010-2011,Electrical and Computer Engineering,116
2010-2011,"Electrical, Electronics and Communications Engineering",13
2010-2011,Engineering Technology,177
2010-2011,General Engineering,7
2010-2011,Industrial Distribution,108
2010-2011,Informatics,92
2010-2011,Information Science,56
2010-2011,Information Technology,63
2010-2011,Management Information Systems,68
2010-2011,Materials Science and Engineering,21
2010-2011,Mechanical Engineering,858
