School Year,Major Program Name,"Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)",Total
2003-2004,CS and/or Eng Multiple Majors (data submitted in aggregation),1246,22,123,5,5,553,1954
2003-2004,Computer Engineering,79,13,29,0,0,119,240
2003-2004,Computer Science,58,8,6,0,0,148,220
2003-2004,Electrical Engineering,81,33,23,0,0,252,389
2003-2004,Mechanical Engineering,32,18,15,2,0,547,614
2004-2005,CS and/or Eng Multiple Majors (data submitted in aggregation),991,19,135,4,6,528,1683
2004-2005,Computer Engineering,94,11,35,0,0,153,293
2004-2005,Computer Science,332,259,113,10,32,1553,2299
2004-2005,Computer Science (BA),6,3,2,0,0,30,41
2004-2005,Computer Science (BS),2,0,1,0,0,32,35
2004-2005,Computer Science + X,2,0,1,0,0,23,26
2004-2005,Computer Science / Engineering,25,11,8,0,0,332,376
2004-2005,Computer Technology,0,0,0,0,0,0,0
2004-2005,Electrical Engineering,68,23,23,0,0,236,350
2004-2005,Information Science,14,16,12,0,0,69,111
2004-2005,Information Technology,65,34,30,0,0,613,742
2004-2005,Mechanical Engineering,49,20,16,1,0,566,652
2004-2005,Networking,14,8,11,0,0,177,210
2005-2006,CS and/or Eng Multiple Majors (data submitted in aggregation),723,18,132,3,7,534,1417
2005-2006,Computer Engineering,102,12,38,1,0,146,299
2005-2006,Computer Science,270,151,94,15,0,1579,2109
2005-2006,Computer Science (BA),4,6,1,0,0,33,44
2005-2006,Computer Science (BS),5,0,0,0,0,21,26
2005-2006,Computer Science + X,1,0,1,0,0,20,22
2005-2006,Computer Science / Engineering,16,7,12,1,0,331,367
2005-2006,Electrical Engineering,73,25,20,0,0,249,367
2005-2006,Informatics,6,7,6,0,1,210,230
2005-2006,Information Science,7,14,12,1,0,65,99
2005-2006,Information Technology,47,23,29,2,0,526,627
2005-2006,Mechanical Engineering,47,10,15,0,0,570,642
2005-2006,Networking,19,6,10,0,0,244,279
2006-2007,CS and/or Eng Multiple Majors (data submitted in aggregation),617,13,123,6,6,466,1231
2006-2007,Computer Engineering,88,7,39,1,0,146,281
2006-2007,Computer Science,126,44,83,7,0,1317,1577
2006-2007,Computer Science / Engineering,20,8,12,4,0,333,377
2006-2007,Electrical Engineering,104,57,108,4,0,751,1024
2006-2007,Engineering Technology,17,9,45,2,0,269,342
2006-2007,Industrial Distribution,12,6,27,2,0,387,434
2006-2007,Informatics,7,4,9,0,1,202,223
2006-2007,Information Technology,34,28,27,3,0,514,606
2006-2007,Management Information Systems,3,6,11,1,0,89,110
2006-2007,Mechanical Engineering,79,49,133,8,0,1577,1846
2006-2007,Networking,23,5,13,1,0,294,336
2006-2007,Software Engineering,21,7,10,0,0,264,302
2007-2008,CS and/or Eng Multiple Majors (data submitted in aggregation),537,13,106,2,5,418,1081
2007-2008,Computer Engineering,66,6,48,0,0,124,244
2007-2008,Computer Science,113,60,114,7,0,1283,1577
2007-2008,Computer Science (BA),8,14,7,1,0,83,113
2007-2008,Computer Science (BS),11,8,3,1,0,131,154
2007-2008,Computer Science + X,2,0,1,0,0,17,20
2007-2008,Computer Science / Engineering,19,6,12,1,0,294,332
2007-2008,Computer Systems Engineering,26,5,30,6,0,152,219
2007-2008,Electrical Engineering,136,86,167,12,0,977,1378
2007-2008,Engineering Technology,18,9,57,2,0,294,380
2007-2008,Industrial Distribution,12,10,41,4,0,364,431
2007-2008,Informatics,6,9,10,0,0,282,307
2007-2008,Information Science,5,16,5,0,0,53,79
2007-2008,Information Technology,41,30,26,1,0,539,637
2007-2008,Management Information Systems,9,3,14,1,0,76,103
2007-2008,Mechanical Engineering,82,64,121,8,0,1651,1926
2007-2008,Networking,25,11,15,1,0,334,386
2007-2008,Software Engineering,15,7,9,2,0,274,307
2008-2009,Applied Engineering Sciences,14,7,1,0,0,89,111
2008-2009,Bioinformatics,3,0,1,0,0,13,17
2008-2009,Biosystems Engineering,4,2,3,2,0,73,84
2008-2009,CS and/or Eng Multiple Majors (data submitted in aggregation),1113,20,129,8,3,542,1815
2008-2009,Chemical Engineering,21,2,12,0,0,198,233
2008-2009,Civil Engineering,12,17,3,1,0,252,285
2008-2009,Computer Engineering,267,92,101,4,10,826,1300
2008-2009,Computer Information Systems,6,14,4,0,0,118,142
2008-2009,Computer Science,488,162,277,20,6,2540,3493
2008-2009,Computer Science &,0,1,0,0,0,1,2
2008-2009,Computer Science (BA),12,17,4,1,0,83,117
2008-2009,Computer Science (BS),6,1,5,0,0,74,86
2008-2009,Computer Science / Engineering,22,3,14,2,0,285,326
2008-2009,Computer Software and Media Applications,20,8,5,2,1,335,371
2008-2009,Computer Systems Engineering,25,5,38,10,0,141,219
2008-2009,Electrical Engineering,180,142,196,18,1,1241,1778
2008-2009,Engineering Technology,23,13,58,2,0,285,381
2008-2009,Industrial Distribution,12,11,59,4,0,355,441
2008-2009,Informatics,10,17,12,0,0,306,345
2008-2009,Information Assurance/Cybersecurity,0,1,0,0,0,6,7
2008-2009,Information Science,5,11,13,1,0,64,94
2008-2009,Information Technology,32,35,27,3,0,463,560
2008-2009,Management Information Systems,14,3,16,0,0,81,114
2008-2009,Materials Science and Engineering,4,4,1,0,0,39,48
2008-2009,Mathematics and Computer Science,1,0,1,0,0,2,4
2008-2009,Mechanical Engineering,193,157,157,15,0,2888,3410
2008-2009,Software Development,0,1,0,0,0,4,5
2008-2009,Systems Engineering,0,0,0,0,0,1,1
2009-2010,Applied Engineering Sciences,12,6,1,0,0,79,98
2009-2010,Applied Information Technology,171,47,42,1,2,263,526
2009-2010,Biosystems Engineering,4,2,5,1,0,81,93
2009-2010,CS and/or Eng Multiple Majors (data submitted in aggregation),1240,79,253,12,2,948,2534
2009-2010,Chemical Engineering,19,4,11,0,0,196,230
2009-2010,Civil Engineering,13,17,6,2,0,300,338
2009-2010,Computer Engineering,329,95,613,8,12,1112,2169
2009-2010,Computer Information Systems,5,26,5,0,0,111,147
2009-2010,Computer Science,633,226,319,25,38,3153,4394
2009-2010,Computer Science (BA),12,20,8,0,0,111,151
2009-2010,Computer Science (BS),15,4,6,0,0,148,173
2009-2010,Computer Science / Engineering,13,6,10,3,1,313,346
2009-2010,Computer Software and Media Applications,20,8,6,2,0,286,322
2009-2010,Computer Systems Engineering,27,6,36,10,0,132,211
2009-2010,Electrical Engineering,278,142,796,20,3,1573,2812
2009-2010,Electrical and Computer Engineering,77,27,118,6,0,376,604
2009-2010,Engineering Technology,60,33,181,3,0,922,1199
2009-2010,General Engineering,0,3,1,0,0,68,72
2009-2010,Industrial Distribution,14,12,59,3,0,355,443
2009-2010,Informatics,19,20,13,0,0,368,420
2009-2010,Information Science,9,21,10,1,0,76,117
2009-2010,Information Technology,36,42,43,5,0,473,599
2009-2010,Management Information Systems,12,4,15,0,0,77,108
2009-2010,Materials Science and Engineering,5,3,0,0,0,38,46
2009-2010,Mechanical Engineering,213,163,792,17,3,2948,4136
2009-2010,Software Engineering,0,1,2,0,0,54,57
2009-2010,Systems Engineering,2,2,2,0,0,13,19
2010-2011,Aerospace Engineering,102,14,148,3,18,344,629
2010-2011,Applied Engineering Sciences,5,12,1,0,0,95,113
2010-2011,Applied Information Technology,209,49,44,0,3,302,607
2010-2011,Biosystems Engineering,6,1,4,0,0,93,104
2010-2011,CS and/or Eng Multiple Majors (data submitted in aggregation),1410,196,332,11,4,1352,3305
2010-2011,Chemical Engineering,23,6,16,0,1,214,260
2010-2011,Civil Engineering,12,15,9,2,0,267,305
2010-2011,Computational Biology,1,0,1,0,0,1,3
2010-2011,Computer Engineering,525,157,722,12,26,1673,3115
2010-2011,Computer Information Systems,10,33,6,0,0,138,187
2010-2011,Computer Science,1311,333,786,40,28,5285,7783
2010-2011,Computer Science (BA),31,15,17,0,0,153,216
2010-2011,Computer Science (BS),117,30,26,6,1,651,831
2010-2011,Computer Science + X,41,1,9,1,0,111,163
2010-2011,Computer Software and Media Applications,29,19,18,3,0,253,322
2010-2011,Computer Systems Engineering,26,6,42,8,0,158,240
2010-2011,Electrical Engineering,375,169,786,14,7,2015,3366
2010-2011,Electrical and Computer Engineering,128,82,155,4,5,547,921
2010-2011,"Electrical, Electronics and Communications Engineering",8,11,12,0,1,59,91
2010-2011,Engineering Technology,53,37,192,2,0,869,1153
2010-2011,General Engineering,0,2,5,0,1,68,76
2010-2011,Industrial Distribution,13,11,70,2,0,353,449
2010-2011,Informatics,15,22,16,0,0,422,475
2010-2011,Information Science,27,27,17,0,1,122,194
2010-2011,Information Technology,37,41,49,5,0,520,652
2010-2011,Management Information Systems,16,8,16,1,1,229,271
