School Year,Major Program Name,Total
2003-2004,CS and/or Eng Multiple Majors (data submitted in aggregation),1954
2003-2004,Computer Engineering,240
2003-2004,Computer Science,220
2003-2004,Electrical Engineering,389
2003-2004,Mechanical Engineering,614
2004-2005,CS and/or Eng Multiple Majors (data submitted in aggregation),1683
2004-2005,Computer Engineering,293
2004-2005,Computer Science,2299
2004-2005,Computer Science (BA),41
2004-2005,Computer Science (BS),35
2004-2005,Computer Science + X,26
2004-2005,Computer Science / Engineering,376
2004-2005,Computer Technology,0
2004-2005,Electrical Engineering,350
2004-2005,Information Science,111
2004-2005,Information Technology,742
2004-2005,Mechanical Engineering,652
2004-2005,Networking,210
2005-2006,CS and/or Eng Multiple Majors (data submitted in aggregation),1417
2005-2006,Computer Engineering,299
2005-2006,Computer Science,2109
2005-2006,Computer Science (BA),44
2005-2006,Computer Science (BS),26
2005-2006,Computer Science + X,22
2005-2006,Computer Science / Engineering,367
2005-2006,Electrical Engineering,367
2005-2006,Informatics,230
2005-2006,Information Science,99
2005-2006,Information Technology,627
2005-2006,Mechanical Engineering,642
2005-2006,Networking,279
2006-2007,CS and/or Eng Multiple Majors (data submitted in aggregation),1231
2006-2007,Computer Engineering,281
2006-2007,Computer Science,1577
2006-2007,Computer Science / Engineering,377
2006-2007,Electrical Engineering,1024
2006-2007,Engineering Technology,342
2006-2007,Industrial Distribution,434
2006-2007,Informatics,223
2006-2007,Information Technology,606
2006-2007,Management Information Systems,110
2006-2007,Mechanical Engineering,1846
2006-2007,Networking,336
2006-2007,Software Engineering,302
2007-2008,CS and/or Eng Multiple Majors (data submitted in aggregation),1081
2007-2008,Computer Engineering,244
2007-2008,Computer Science,1577
2007-2008,Computer Science (BA),113
2007-2008,Computer Science (BS),154
2007-2008,Computer Science + X,20
2007-2008,Computer Science / Engineering,332
2007-2008,Computer Systems Engineering,219
2007-2008,Electrical Engineering,1378
2007-2008,Engineering Technology,380
2007-2008,Industrial Distribution,431
2007-2008,Informatics,307
2007-2008,Information Science,79
2007-2008,Information Technology,637
2007-2008,Management Information Systems,103
2007-2008,Mechanical Engineering,1926
2007-2008,Networking,386
2007-2008,Software Engineering,307
2008-2009,Applied Engineering Sciences,111
2008-2009,Bioinformatics,17
2008-2009,Biosystems Engineering,84
2008-2009,CS and/or Eng Multiple Majors (data submitted in aggregation),1815
2008-2009,Chemical Engineering,233
2008-2009,Civil Engineering,285
2008-2009,Computer Engineering,1300
2008-2009,Computer Information Systems,142
2008-2009,Computer Science,3493
2008-2009,Computer Science &,2
2008-2009,Computer Science (BA),117
2008-2009,Computer Science (BS),86
2008-2009,Computer Science / Engineering,326
2008-2009,Computer Software and Media Applications,371
2008-2009,Computer Systems Engineering,219
2008-2009,Electrical Engineering,1778
2008-2009,Engineering Technology,381
2008-2009,Industrial Distribution,441
2008-2009,Informatics,345
2008-2009,Information Assurance/Cybersecurity,7
2008-2009,Information Science,94
2008-2009,Information Technology,560
2008-2009,Management Information Systems,114
2008-2009,Materials Science and Engineering,48
2008-2009,Mathematics and Computer Science,4
2008-2009,Mechanical Engineering,3410
2008-2009,Software Development,5
2008-2009,Systems Engineering,1
2009-2010,Applied Engineering Sciences,98
2009-2010,Applied Information Technology,526
2009-2010,Biosystems Engineering,93
2009-2010,CS and/or Eng Multiple Majors (data submitted in aggregation),2534
2009-2010,Chemical Engineering,230
2009-2010,Civil Engineering,338
2009-2010,Computer Engineering,2169
2009-2010,Computer Information Systems,147
2009-2010,Computer Science,4394
2009-2010,Computer Science (BA),151
2009-2010,Computer Science (BS),173
2009-2010,Computer Science / Engineering,346
2009-2010,Computer Software and Media Applications,322
2009-2010,Computer Systems Engineering,211
2009-2010,Electrical Engineering,2812
2009-2010,Electrical and Computer Engineering,604
2009-2010,Engineering Technology,1199
2009-2010,General Engineering,72
2009-2010,Industrial Distribution,443
2009-2010,Informatics,420
2009-2010,Information Science,117
2009-2010,Information Technology,599
2009-2010,Management Information Systems,108
2009-2010,Materials Science and Engineering,46
2009-2010,Mechanical Engineering,4136
2009-2010,Software Engineering,57
2009-2010,Systems Engineering,19
2010-2011,Aerospace Engineering,629
2010-2011,Applied Engineering Sciences,113
2010-2011,Applied Information Technology,607
2010-2011,Biosystems Engineering,104
2010-2011,CS and/or Eng Multiple Majors (data submitted in aggregation),3305
2010-2011,Chemical Engineering,260
2010-2011,Civil Engineering,305
2010-2011,Computational Biology,3
