sy,tfg,tfl,tfe,fer,fgr,fdr,tmg,tml,tme,mer,mgr,mdr,fmg,fml,fme
2003,203,48,555,68.85856079,25.18610422,5.955334988,933,314,3146,71.61393125,21.23833371,7.147735033,0.217577706,0.152866242,0.176414495
2004,313,86,603,60.17964072,31.23752495,8.582834331,1584,726,4867,67.8138498,22.070503,10.11564721,0.19760101,0.1184573,0.123895624
2005,294,82,702,65.12059369,27.27272727,7.606679035,1786,873,5401,67.00992556,22.15880893,10.83126551,0.164613662,0.093928981,0.12997593
2006,241,64,736,70.7012488,23.15081652,6.147934678,1642,825,5718,69.85949908,20.06108735,10.07941356,0.146772229,0.077575758,0.128716334
2007,225,84,863,73.63481229,19.19795222,7.167235495,1663,935,6290,70.76957696,18.71062106,10.51980198,0.135297655,0.089839572,0.137201908
2008,312,75,1283,76.82634731,18.68263473,4.491017964,1945,804,8030,74.49670656,18.04434549,7.458947954,0.160411311,0.093283582,0.159775841
2009,602,178,2371,75.24595367,19.10504602,5.649000317,3662,1432,13987,73.30328599,19.19186625,7.504847754,0.164391043,0.124301676,0.169514549
2010,828,234,3316,75.7423481,18.91274555,5.34490635,5235,1816,19698,73.64013608,19.57082508,6.789038843,0.158166189,0.128854626,0.168341964
2011,1093,355,4180,74.27149964,19.42075338,6.307746979,6585,2588,25115,73.24720019,19.20496967,7.547830145,0.165983295,0.137171561,0.166434402
2012,1146,558,4066,70.46793761,19.86135182,9.670710572,6853,4091,24429,69.06114833,19.37353349,11.56531818,0.167226032,0.136396969,0.166441524
2013,1440,565,5320,72.62798635,19.65870307,7.71331058,8362,4526,30594,70.36014903,19.23094614,10.40890483,0.172207606,0.124834291,0.173890305
2014,1299,363,4764,74.1363212,20.21475257,5.648926237,7077,2634,24504,71.61771153,20.68391057,7.698377904,0.183552353,0.137813212,0.194417238
2015,1073,367,3827,72.65995823,20.37212835,6.967913423,5114,2441,17253,69.54611416,20.61431796,9.839567881,0.209816191,0.150348218,0.221816496
