School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: American Indian/Alaska Native (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)",Total,,
 ,,,,,,,,,,,,,,,
2003-2004,363,34,34,2,0,183,1496,94,196,7,5,1619,616,3417,
2004-2005,356,156,44,4,11,343,1662,404,387,15,38,4312,914,6818,
2005-2006,248,116,43,8,0,390,1320,279,370,23,8,4528,805,6528,
2006-2007,220,84,100,6,0,662,1151,243,640,39,7,6609,1072,8689,
2007-2008,226,86,122,17,0,752,1131,357,786,49,5,7346,1203,9674,
2008-2009,466,173,163,21,5,1367,2487,746,1137,93,21,11305,2195,15789,
2009-2010,705,262,643,27,15,1866,3238,1019,3353,119,61,14574,3518,22364,
2010-2011,1029,438,792,20,26,2731,4906,1538,4314,144,105,21052,5036,32059,
2011-2012,1321,591,917,28,30,3011,6260,1872,5303,155,90,24313,5898,37993,
2012-2013,1614,587,746,33,19,3282,7375,2112,4606,146,101,25246,6281,39586,
2013-2014,2069,589,1057,31,25,3812,9076,2076,6002,182,130,29082,7583,46548,
2014-2015,2640,683,1158,41,24,4315,10286,2300,6456,209,125,29576,8861,48952,
2015-2016,2418,641,1056,34,24,3910,8454,2001,5169,195,102,24363,8083,40284,
2016-2017,942,133,345,5,4,1027,2724,458,1293,20,16,6928,2456,11439,
,,,,,,,,,,,,,54521,330140,384661
