School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: American Indian/Alaska Native (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)"
 ,,,,,,,,,,,,
2003-2004,58.92857142857143,5.51948051948052,5.51948051948052,0.3246753246753247,0.0,29.707792207792206,43.78109452736319,2.7509511267193445,5.736025753585016,0.2048580626280363,0.1463271875914545,47.380743342112964
2004-2005,38.949671772428886,17.067833698030636,4.814004376367615,0.437636761487965,1.2035010940919038,37.527352297593,24.376650044001174,5.925491346435905,5.676151364036374,0.2200058668231153,0.557348195951892,63.24435318275154
2005-2006,30.80745341614907,14.409937888198758,5.341614906832298,0.9937888198757764,0.0,48.4472049689441,20.220588235294116,4.273897058823529,5.667892156862745,0.35232843137254904,0.12254901960784313,69.36274509803921
2006-2007,20.52238805970149,7.835820895522388,9.328358208955224,0.5597014925373134,0.0,61.75373134328358,13.246633674761192,2.79663942916331,7.365634710553573,0.4488433651743584,0.0805616296466797,76.06168719070088
2007-2008,18.78636741479634,7.14879467996675,10.141313383208646,1.4131338320864506,0.0,62.510390689941815,11.691130866239405,3.6903039073806077,8.124870787678313,0.5065123010130246,0.05168492867479843,75.93549720901385
2008-2009,21.23006833712984,7.881548974943052,7.425968109339408,0.9567198177676538,0.22779043280182232,62.277904328018224,15.751472544176325,4.724808410918994,7.201216036481094,0.5890176705301159,0.1330039901197036,71.60048134777377
2009-2010,20.039795338260376,7.447413303013076,18.277430358158043,0.7674815235929505,0.42637862421830586,53.041500852757245,14.478626363798963,4.556429976748346,14.992845644786264,0.532105169021642,0.2727597925236988,65.16723305312108
2010-2011,20.432883240667195,8.69737887212073,15.726767275615568,0.3971405877680699,0.5162827640984908,54.22954725972995,15.303035029164977,4.79740478492779,13.456439689322812,0.4491718394210674,0.327521132911195,65.66642752425216
2011-2012,22.397422855205154,10.020345879959308,15.547643268904713,0.4747371990505256,0.508646998982706,51.05120379789759,16.476719395678153,4.927223435896086,13.957834337904352,0.40796988919011395,0.23688574211038876,63.993367199220906
2012-2013,25.696545136124822,9.34564559783474,11.877089635408375,0.5253940455341506,0.30249960197420794,52.25282598312371,18.630323851866823,5.335219522053251,11.635426665993029,0.36881725862678727,0.2551407063103117,63.7750719951498
2013-2014,27.28471581168403,7.767374390083081,13.939074245021759,0.4088091784254253,0.3296848213108268,50.27034155347488,19.498152444788175,4.459912348543439,12.894216722522987,0.39099424250236314,0.27928160178740224,62.47744263985563
2014-2015,29.793477034194787,7.7079336418011515,13.068502426362713,0.46270172666741904,0.2708497912199526,48.696535379753975,21.0124203301193,4.698480143814349,13.188429481941494,0.42694884785095605,0.2553521817290407,60.41836901454486
2015-2016,29.91463565507856,7.930223926759866,13.064456266237784,0.4206359025114438,0.29691946059631324,48.37312878881603,20.98599940422997,4.967232648197796,12.83139708072684,0.48406315162347335,0.2532022639261245,60.4781054512958
2016-2017,38.355048859934854,5.415309446254072,14.047231270358306,0.20358306188925082,0.16286644951140064,41.81596091205212,23.813270390768423,4.003846490077804,11.30343561500131,0.1748404580820002,0.13987236646560014,60.56473467960486
